ic-1,ic-2,ic-3,ic-4,ic-5
1306.9,11763.4,8726.2,2888.7,9095.5
2041.3,4958,10420.1,18595.9,53162.5
714.5,2639,10639.4,4402.4,2317.3
758,9474.4,9348.1,8915.2,22419
6333.4,1263.3,8461.7,9788,6628.8
2962.6,6801.9,6519.3,3062,24281.2
5526.4,3698.5,6567.6,9346.5,18821.8
7037.5,6405.4,1735.1,11701.8,2655.9
8410.6,13093.9,1894.9,17045,7804.3
8820.8,2111.1,7706.7,7822.8,7330.2
11679.6,3979.3,3031.8,8805.2,14125.5
6467.8,1190.8,1094.9,7337.6,6920.2
1246.9,2942.1,21603.7,5677.8,3271.2
1722.6,4793.3,18443.9,4995,9138.2
6402.6,5997.5,2041.3,32334.6,2653.7
42381.3,3843.5,5923.7,4775.1,30318.2
11,4398.2,2210.7,15669.2,6699.9
1560,2199.1,28054.5,6251.9,11849.2
102.1,9997.9,489.9,5463.6,2762.8
6167.7,17989,6804.4,2526.5,5614.1
1587.1,3665.2,4600.9,24408.5,9095.5
256.6,7999,2745.3,5842.6,8110.1
510.4,3668.6,6422.8,14742.7,8849.6
6508.2,283.6,11774.7,746.5,315.8
4838,8343.7,22007.4,11531.3,5118.9
8607.1,3603.9,2273.9,3316.1,10206.7
2891.9,3789.8,10611.4,7850.8,10706.1
6433.2,592.3,1104.1,5763.3,1894.9
3439.7,2049.2,5656.4,23899.6,366.5
1364.8,1701.1,5167.9,9580.4,11817.2
510.3,10923.2,6397.4,3504.3,21136.7
3158.1,3711.5,3665.2,8144.4,9698
6716.2,7823.9,6365.8,26286.6,8014.2
4347.3,22741.2,20790.1,14303.7,2748.9
4899.2,21844.3,9280.9,13640.1,13918.2
4900.8,3639.8,16009.4,3239.3,10357.6
8165.3,1243.7,4398.2,8067.9,11300.7
3715.4,10401.8,5085.4,30616.4,12316.8
134.6,4105.6,4547.7,6328.1,4073.4
1342.3,5103.3,37613.5,6316.3,3307.3
510.4,3673.5,2565.1,11066.2,9510.8
499.9,11686.9,219.9,7858.6,5073.2
805.9,2199.1,4547.7,10287.5,6166.1
2652.8,4654.1,10706.2,6650,11833.1
4547.7,2369.1,5552.3,6597.3,21606.4
22188.4,5794.6,34517.7,12611.5,8689.3
2932.1,5929.8,16504.4,16085.3,16523
5076.8,2544.8,4542.1,10015,8426.6
256.6,0,7579.6,7556.3,5328.4
2336.1,9836.3,8063.4,535.7,4438.5
10235.8,5021.6,5602.7,12715.6,8261.5
2583.9,2552.1,6557,4895.3,8673.5
1558.6,7986,4882.2,1579.4,5497.7
3553.6,7331.7,7684.1,8852.5,8085.1
2526.5,4899.2,5684.7,7539.9,8503.5
7215.5,21009.9,9404.6,6688.7,3255.5
3117.2,1894.9,947.4,4763.1,1099.5
4031.7,9038.4,2041.3,11426.1,9474.4
4547.7,4647.2,6897.2,2848.7,5859.1
766.7,1105.6,5386,19966.1,7272.1
3827.7,19067.4,6866.8,4136.2,9123.3
3410.8,5229.9,9123.8,14194.4,10575
3109.5,3316.1,2393.4,14252.5,3674.4
1099.5,5684.7,10105.2,4243.5,10895.5
625.2,2381.3,3363.9,5566.4,5337.8
923.2,3445.6,7895.4,7418.1,12928.4
28964.3,623.4,7958.5,9732.7,5307.5
2041,3173.5,12001,4417.7,236.9
9104.3,5921,10024.1,11275.5,8228.8
4908.2,2589.7,10077.9,3299.4,10954.5
4082.7,868.1,22950.5,6369.4,15103.2
5757.3,16536,1579.1,3844.7,30127.1
7265.3,3158.1,3625.2,433.6,9245.6
568.6,7291.6,4791.2,2753.8,12865.3
23659.9,6176.3,11334,3158.1,14335.2
170.1,8015.1,2163.1,10042.5,8337.5
43447.9,3402.2,2842.9,12795.1,10995.6
1579.1,6316.3,2095.9,3703.6,6504.4
2778.4,118308.5,3316.7,4083.4,8903.7
5735.5,2721.8,11764.8,10206.7,12506.3
4552.1,2636.3,6394.1,789.5,13558.6
3810.5,3789.8,1896.1,18372,11021.3
7916.7,2361.3,6947.9,2075.4,4346.6
4948.5,4997.9,999.6,6518.4,9377.3
3018.2,8446.7,3801.3,9359.1,11041.8
7586.7,9161,14240.1,13240,4859.3
8827.1,1350.6,5131.6,4502.2,13474
1401.7,10405.3,6579.2,2858.8,3627.6
16060.1,3158.1,9539.8,4894.6,9288.4
17592.8,3158.1,12241.9,2711.1,6304.1
1894.9,11079.4,5717.6,10737.7,2240.6
315.8,4584.9,22277.1,4343.3,13624
2089.9,3225.3,10259.7,8057.9,5126.3
1263.3,587.2,14147.9,1737,10565.4
8842.8,4080,9474.4,43200.9,8743.1
2808.9,4728.2,5305.7,6124,3588.9
6147.5,8034.3,7866.7,2842.3,4547.7
958.9,2515.8,3077.5,42261.1,4082.7
879.6,13429.8,10.9,20953.7,16298.9
6234.3,8865.3,9223.1,5218.5,16783.6
5388.5,9788,26979.5,11495.9,10306.8
2857.9,6121.2,44264,10208.5,6666.9
3342,4769.7,9803.8,5939,19863.1
2721.8,3983.5,2217.1,3402.2,5400.4
53.2,2719,627.8,439.8,10791.3
2404.2,1937.6,4082.7,105936.2,19857.3
5078.2,4774,601.3,5659.7,4465.4
2662.5,2842.3,10199.7,6372.6,8984.2
5898.7,4447.3,15364.8,11207.5,1364.3
45861.2,3298.6,3445.7,9286.6,18031.8
3062,7416.8,3693.9,15697.9,3789.8
549.8,6944.5,3731.6,37396.7,3606.5
4915.1,5077.9,3789.8,6632.1,10096.8
8972.3,181.4,6856.7,4398.2,9203.8
3369,7050.3,3181.3,4071.4,12196.2
355.4,5312.7,12957.1,4105.6,9071.2
1611.9,9147.3,9673.9,9540.7,10376.9
5205.7,16330.7,5307.5,2698.5,16558.2
73.3,9686.3,6064.5,9341.9,7074.6
680.4,7988.7,8552.2,3789.8,3225.1
2028.1,10402.5,2466.9,7014.8,3997.8
2000.6,3725.4,9445.3,7418.7,96638.8
1264.4,1539.8,6151.6,9408,8842.8
4738.1,5504,18948.9,9244.5,9967.1
5010,3296.6,5877.5,10399,3202.7
1386.2,631.6,3158.1,10844.5,9557.9
3789.8,385,5393.4,11203.8,20072.8
3477,5887.6,8790.4,15760.2,7700.2
5888.5,2772.9,4236.4,8209,12669.1
9424.8,13626,1895.2,13324.4,967.3
3062,14660.4,24289,4082.7,7380.2
322.6,0,3789.8,7956.4,3031.6
549.8,21487.7,4032.7,18845.9,10033.7
4403.5,10383.7,3553.6,9263.8,6124
3789.8,8679.1,11279.5,4105.6,104738
3035,2463.4,9161.7,3780.9,1952.5
1184.5,8199.2,8750.9,13359.8,4010
8496.7,19381.2,4279.7,9884.7,8439.1
659.7,2819.8,139376.2,6877.7,425.4
3062,4476.2,8151.6,12433.7,10718.4
1714.5,73.3,219.9,6356.5,10819.9
110.6,1063.4,170.1,9392.5,6036.7
12272.1,7350.7,3961.7,5607.7,23633.1
8796.4,394.8,3742.4,7067.4,10917.8
9474.4,4995.1,20585.8,3476.9,2052.8
2975.4,9636.6,5603.3,4975.5,12061.5
4186.4,3665.2,19519.8,4926.7,10023.4
7191,18831.1,608.3,18196.9,18749.4
1974.2,3035.5,219.9,408.3,7755.3
1319.5,1221,6523,10614.9,6758.4
366.5,2565.6,1084.1,10984.5,6780.4
4209.7,6124,20634.7,27988.5,12443.1
1105.2,2975,795.9,6804.4,5527.2
6124,4629.7,1392.8,13404.8,8063.3
1579.1,3789.8,9385.2,17373.4,12828.1
999.6,1231.7,3797.9,17137.8,26384.7
879.6,20402.1,6545.9,7060.5,21601.7
5103.3,5967.8,2216.1,16828.7,3742.4
937.5,221.1,9388.4,7062.8,11748.3
8165.3,935.2,9580,10892.5,13846.5
8946.9,6124,3732.4,2627.8,3710.3
451.5,11924,20178.7,24212.9,1319.5
63.2,9291.3,4456.9,9767.3,11638.9
4845.8,1973.9,11569.2,7180,11247.7
8518.6,8356.5,5948.6,4315.2,11571.7
1579.1,16671,4987.5,8757.9,2526.5
3665.2,3338.3,7800.9,18070.9,5684.7
2290.4,695.9,5875.9,5974.1,8842.8
1652,4227.6,12703.3,5446.9,6316.3
1515.9,5443.6,8473.2,789.5,8819.9
2783.6,2783.6,18820.1,9162.9,31999
1009.8,12478.2,5103.3,4751.1,15050.8
238.2,1573.8,7961,3893.2,26809.2
9820.8,18392.3,5368.8,8666.6,7205.3
3836.2,6124,13016.7,14787.2,7154.3
2369,2369.1,25955.1,9723.8,10867.7
1469.8,82.1,23353.6,8836.1,9394.7
6629.2,2113.4,11927.4,11866.1,12158.3
879.6,3158.1,3820.9,9729.2,9876.8
31256.7,20825.2,2763.9,1894.9,7309.5
2484.9,3966.7,5746.8,5131.2,4422.9
1832.6,351.6,3582.6,16297.9,13264.2
4227.2,6380.3,1099,6541.9,7791.2
4482.4,2851.4,16203.1,13139.9,9360.5
10719.7,3474,5687.1,5839.7,6226.5
315.8,14116.5,6239.4,15286.3,22556
2932.1,8466.9,11978,11107,13929.1
5763.7,4447.5,2385.2,5933.2,4082.7
42.3,1066.4,1072.4,9576.9,5021.5
988.6,10421.9,2447.6,4250.8,18948.9
4899.2,5201.3,644,5656,11422.1
6944.5,6339.4,2721.8,8776.3,7281.1
4883.2,1055.6,17060.1,17546.5,17132.1
2526.5,3966,63503.2,9474.4,12698.3
1736.1,947.6,8179,4970.2,4163
8431.1,6736.4,4398.2,10442.5,5091.4
414.4,71199.2,3877.2,4490.9,32444.9
315.8,2823.9,7358.4,18448.1,9658.8
5567.3,3884.2,8478.7,10950.1,394.8
12979.8,3402.2,6106.3,13349.9,2817.4
1917.4,6988.2,2199.1,3710.4,16232.6
41715.1,11478.1,3789.8,20223.7,9813.5
3318.3,1469.6,8363.1,12996.8,9186.6
0,4737.6,12944.6,3789.8,10543.4
315.8,3718.1,3445.1,23547.4,24317.4
12016,2211.8,9853.4,4105.6,6152.6
3358.1,6076.4,2417.8,6821.6,4790.5
9887.6,10234.9,3485.3,6859.5,12338.4
916.3,12703.2,15802,5448.2,9244.2
5830.4,36765.2,6683.3,1060.1,17754.3
4337.3,10206.7,13544.6,6394.6,38095.3
914.6,170.1,17485.4,3568.7,8526.8
6602.4,10798.4,24223.9,32085.6,2915.2
