2015 Observed,2030 Baseline,2030 Extended,2030 Net Zero,2050 Baseline,2050 Extended,2050 Net Zero
16.451,19.723,19.96,20.871,23.849,26.493,28.086
17.143,20.009,20.23,21.112,24.139,26.72,28.355
17.726,19.877,20.058,20.855,23.868,26.049,27.551
18.22,18.758,18.875,19.537,22.438,23.989,25.187
18.419,17.891,17.986,18.581,21.738,22.915,24.213
18.507,17.191,17.161,18.094,21.437,22.52,23.729
18.391,16.703,16.642,17.657,21.194,22.216,23.359
18.079,16.47,16.519,17.233,20.957,21.941,23.032
17.868,16.526,16.6,17.241,20.882,21.844,22.919
17.86,16.482,16.557,17.193,20.765,21.722,22.794
18.294,16.501,16.628,17.331,21.101,22.198,23.907
19.413,16.854,16.987,17.703,21.451,22.572,24.35
19.289,17.036,17.185,17.944,21.648,22.842,24.758
18.704,16.872,17.028,17.806,21.333,22.551,24.456
18.095,16.772,16.942,17.756,21.211,22.485,24.46
17.481,16.21,16.392,17.253,20.841,22.173,24.227
16.588,15.639,15.836,16.754,20.403,21.805,23.923
15.645,15.314,15.542,16.554,20.142,21.682,23.946
14.798,13.924,14.167,15.176,17.907,19.411,21.166
14.249,13.551,13.772,14.707,17.369,18.757,20.362
13.868,13.457,13.672,14.58,17.183,18.539,20.096
13.695,13.365,13.57,14.448,16.944,18.253,19.711
13.67,13.537,13.732,14.576,17,18.259,19.629
13.822,13.709,13.893,14.705,17.023,18.235,19.519
14.209,14.117,14.294,15.082,17.329,18.511,19.744
14.875,14.544,14.65,15.425,17.76,18.936,20.199
15.53,14.746,14.841,15.481,17.043,17.895,18.617
16.118,14.618,14.694,15.282,16.877,17.643,18.274
16.463,14.53,14.598,15.162,16.764,17.487,18.071
16.644,14.368,14.434,14.994,16.555,17.265,17.826
16.812,14.218,14.284,14.843,16.38,17.082,17.636
16.875,14.076,14.141,14.698,16.237,16.935,17.489
16.853,14.017,14.083,14.641,16.219,16.923,17.494
17.031,14.052,14.121,14.682,16.278,16.997,17.581
17.681,14.217,14.282,14.894,17.395,18.417,19.55
18.785,14.968,15.045,15.587,17.846,18.914,20.118
18.78,15.638,15.746,16.373,18.342,19.474,20.808
18.466,15.957,16.108,16.857,18.74,19.968,21.49
18.007,16.137,16.319,17.157,18.849,20.147,21.76
17.304,15.589,15.801,16.745,18.816,20.251,21.888
16.387,14.975,15.224,16.291,18.782,20.247,22.045
15.399,14.748,15.067,16.344,18.973,20.603,22.64
14.686,18.548,18.923,20.562,25.099,27.459,30.414
14.354,18.604,18.945,20.485,24.993,27.189,29.903
14.162,18.509,18.84,20.358,24.835,26.993,29.625
14.17,18.582,18.898,20.383,24.746,26.844,29.322
14.37,18.73,19.028,20.476,24.789,26.821,29.164
15.051,19.391,19.67,21.093,25.276,27.245,29.44
16.455,20.087,20.346,21.775,25.89,27.821,29.928
18.117,21.055,21.171,22.411,26.45,28.375,30.532
18.431,21.344,21.45,22.809,25.892,27.26,28.445
18.474,21.229,21.323,22.36,25.594,26.806,27.819
18.527,20.947,21.028,22.02,25.197,26.332,27.256
18.461,20.68,20.76,21.746,24.854,25.972,26.861
18.24,20.535,20.616,21.601,24.678,25.794,26.674
18.153,20.493,20.574,21.553,24.647,25.76,26.643
18.151,20.468,20.551,21.53,24.696,25.823,26.736
18.339,20.409,20.494,21.477,24.707,25.854,26.794
19.049,20.449,20.519,21.555,25.852,27.503,29.434
20.236,20.477,20.445,21.813,26.518,28.237,30.331
20.371,20.876,20.849,22.475,27.212,29.07,31.41
20.227,21.458,21.564,23.214,27.85,29.905,32.568
19.933,21.776,21.989,23.626,27.977,30.174,33.001
19.27,20.965,21.278,22.904,27.741,30.076,33.103
18.051,20.086,20.492,22.187,27.372,29.862,33.053
16.905,19.961,20.485,22.484,27.365,30.2,33.97
16.115,21.102,21.532,23.28,28.846,31.881,35.626
15.7,21.042,21.432,23.068,28.57,31.434,34.913
15.513,21.018,21.399,23.006,28.426,31.252,34.636
15.572,21.165,21.53,23.094,28.317,31.076,34.28
15.747,21.332,21.679,23.193,28.293,30.979,34.025
16.388,21.906,22.233,23.712,28.618,31.241,34.116
17.903,22.577,22.864,24.273,29.051,31.635,34.401
19.451,23.316,23.588,24.944,29.542,32.114,34.921
19.47,23.648,23.876,25.133,28.498,30.364,32.146
19.064,22.683,22.836,23.907,27.888,29.517,31.119
18.835,22.023,22.06,23.276,27.494,28.997,30.473
18.672,21.748,21.724,23.054,27.235,28.702,30.105
18.413,21.528,21.472,22.882,27.061,28.503,29.869
18.16,21.392,21.319,22.764,26.969,28.373,29.723
18.006,21.345,21.282,22.696,26.934,28.33,29.7
18.354,21.17,21.087,22.572,26.877,28.285,29.682
19.17,21.508,21.666,23.102,28.271,30.318,32.756
20.379,21.849,22.073,23.383,28.645,30.811,33.426
20.703,22.18,22.447,23.791,29.202,31.538,34.408
20.65,22.461,22.72,24.135,29.598,32.075,35.126
20.475,22.833,23.134,24.56,29.868,32.477,35.677
19.753,22.238,22.585,24.128,29.814,32.551,35.935
18.564,21.821,22.199,23.817,29.603,32.498,36.036
17.414,21.75,22.185,23.954,29.646,32.841,36.663
16.594,21.343,21.754,23.518,29.082,32.315,36.007
16.222,21.289,21.662,23.314,28.811,31.889,35.316
16.037,21.26,21.623,23.246,28.659,31.712,35.046
15.998,21.382,21.729,23.309,28.525,31.519,34.674
16.186,21.508,21.837,23.369,28.457,31.374,34.37
